Column1,Kichwa,Spanish,Sentimineto
0,abya yala,continente americano,neutro
1,abyalami chawchuri rikurimanta,racismo en america,negativo
2,allpapi tiyashkakuna,accidentes geograficos,negativo
3,wayku,acequia,neutro
4,achachilasa  ñawpa kawsakkuna kitsil,antepasados,neutro
5,achik,claro  luz,positivo
6,achik mama,madrina,neutro
7,achik wawa,ahijado  ahijada,neutro
8,achik yaya / achik tayta,padrino,neutro
9,achiksamaytu,ozono,neutro
10,achikshumaytu,ozono,neutro
11,achikyachina (yuyaymanta),aclarar,positivo
12,achikyana (punchamanta),aclarar,positivo
13,achka,mucho,positivo
14,achkak,suficiente,neutro
15,ahak,ofensor,negativo
16,ahay,ofender  ofensa,negativo
17,akapi,cebada,neutro
18,akcha,pelo  cabello,neutro
19,akcha kara,cuero cabelludo,neutro
20,akllashka chani,muestra estadistica,neutro
21,akllawarmi,virgen,positivo
22,akllay,escoger,neutro
23,akna,ceremonia,neutro
24,akna,ceremonia,neutro
25,akukutinchik,multiplo del gramo,neutro
26,akuna,masticar,neutro
27,akuy,vil,negativo
28,alakay,alcanzar,positivo
29,alapana,pegar  adherir,neutro
30,alaparina,apegarse  aferrarse,positivo
31,allana,excavar,neutro
32,allawka,derecha (mano),neutro
33,allawka  alliman,derecho,neutro
34,alli,bien  bueno,positivo
35,alli maki,mano derecha,neutro
36,allichi,adorno,positivo
37,allichina,arreglar,positivo
38,allichiy,arreglar,positivo
39,allikachina,gustar,neutro
40,allikay,salud  beneficio,positivo
41,allikillkay,ortografia,neutro
42,allikillkay (w),ortografia,neutro
43,allimanta,despacio  de buena manera,positivo
44,allimikuy,nutricion,neutro
45,allin,magnifico,positivo
46,alliyana,sanar  curar,positivo
47,alliyay,recuperar la salud,positivo
48,allku,perro,neutro
49,allpa,tierra  suelo,neutro
50,allpa kara,corteza terrestre,neutro
51,allpa khiwa,hierba rastrera,negativo
52,allpachawpipacha muyuy,li­nea ecuatorial,neutro
53,allpachinkari,erosion,negativo
54,allpachinkariy,erosion,negativo
55,allpachukchuy,temblor,negativo
56,allpakamay saywachi,geografia politica,neutro
57,allpakutik,movimiento de nutacion,neutro
58,allpamama chaska,planeta tierra,neutro
59,allpamamakamay,geografia,neutro
60,allpamamapi rikuchi,ubicacion geografica,neutro
61,allpampay,superficie de la tierra,neutro
62,allpamuyuy,movimiento de traslacion,neutro
63,allpanpa,superficial,negativo
64,allpapacha,continente,neutro
65,allpapachakak,natural,positivo
66,allpapachapampa,superficie de la tierra,neutro
67,allpapachapi tiyak chalwakuna,recursos ictiologicos,positivo
68,allpapachapi tiyak chukikuna,recursos mineros,positivo
69,allpapachapi tiyak yakukuna,recursos hidrografico,positivo
70,allpapachapi tiyak yurakuna,recursos forestales,positivo
71,allpapachapi tiyakuna,recursos naturales,positivo
72,allpapiruruy,movimiento de rotacion,neutro
73,allparantikillka,escritura,neutro
74,allpashuyu,mapa,neutro
75,allpashuyukamay,cartografi­a,neutro
76,allpawaklliyay,erosion,negativo
77,allpawira,petroleo,neutro
78,allpawira  wisisi,petroleo,neutro
79,allpawku,subterraneo,neutro
80,allpañan,vi­a terrestre,neutro
81,allpañutuchina,desterronar,positivo
82,almut,almud (25 lib),positivo
83,ama llulla,honestidad,positivo
84,amapuna,traer,neutro
85,amaru,serpiente,neutro
86,amawta,cienti­fico,positivo
87,amawta yachay,contenido cientifico,positivo
88,amawtay,ciencia,neutro
89,amañana,adaptar,positivo
90,amañana  yacharina,adaptar,positivo
91,amañarina,adaptarse,positivo
92,amañariy,adaptacion,positivo
93,amita,sopa,neutro
94,ampana,bostezar,negativo
95,amsa,opaco,negativo
96,amsayana,ocultar el sol,neutro
97,amukay,suavidad,positivo
98,amulliy,poner algo en la boca,neutro
99,ana,lunar,neutro
100,anaku,falda,neutro
101,anchachilasa  ñawpa kawsakkuna,antepasados,neutro
102,anchakuyay,pasion de vehemencia amorosa,positivo
103,anchallpa,globo terraqueo,neutro
104,anchallpakamay,geopolitica,neutro
105,anchayupay,importancia,positivo
106,anchuchina,quitar  sustraer,negativo
107,anchuchiy,quitar,negativo
108,anchuna,irse de casa  moverse de sitio,negativo
109,anchuriy,retirarse,negativo
110,anchuy,retirada,negativo
111,anka,gallinazo,neutro
112,ankana,volar,neutro
113,ankas,azul,neutro
114,ankas tapa wara,blue jean,neutro
115,ankay,ceremonial,neutro
116,ankichik,radio emisor,neutro
117,ankiyachik,radio receptor,neutro
118,anku,vena  arteria,neutro
119,ankuyana,marchitarse envecer,negativo
120,anta,metal,neutro
121,antaki,plomo,neutro
122,antakullki,monedas,positivo
123,antanikik,computadora,neutro
124,antanikik chaski,correo electronico,neutro
125,antapachachik,reloj mecanico,neutro
126,antawa,coche  carro,neutro
127,antayari,radio,neutro
128,antayay,metalurgico,neutro
129,antisuyu,region amazonica,neutro
130,apana,llevar,positivo
131,apanakuy,llevarse - relacionarse,positivo
132,apankara,cancer(enfermedad),negativo
133,apankura,cancer (signo),neutro
134,aparikanta,medios de transporte,neutro
135,aparina,cargar,positivo
136,apariykancha,medios de transporte,negativo
137,apay,guiar  conducir,positivo
138,api,colada  mazamorra,neutro
139,apuk,ancestros,neutro
140,apuk,lider-autoridad,positivo
141,apukkuna,autoridades,positivo
142,apukkuna tantaripacha,periodo de integracion,neutro
143,apukkuna tantatripacha,periodo de integracion,neutro
144,apuktukushka,emperador,negativo
145,apunchik,dios,positivo
146,apunchikamay,religion,neutro
147,apunchikwasi,iglesia,neutro
148,apuskachak,soberbio,negativo
149,apyayala,continente americano,neutro
150,apyayalapi chawchuri rikurimanta,racismo en america,negativo
151,apyu,caballo,neutro
152,arawik,poeta,neutro
153,thiyu / illul,arena,neutro
154,arina,estrenar,positivo
155,arinichina,convencer,positivo
156,arinina,acceder  consentir,positivo
157,arininakuy,acuerdo  tratado,positivo
158,arininakuy,acuerdos  tratados,positivo
159,ayñi,arma,negativo
160,armana,bañar,positivo
161,ashanka,canasto,neutro
162,ashankayrumpa,basquet,neutro
163,ashnana,oler,neutro
164,ashtarina,mobilizarse  transportarse  moverse.,positivo
165,asichik,hazmereir,negativo
166,asichisiki,chistoso,positivo
167,asina,reir,neutro
168,asinayay,chistoso  que causa risa,positivo
169,asipayak,burlon,negativo
170,aspi,guion,neutro
171,aspina,rascar  subrayar ,neutro
172,atallpa,gallina,neutro
173,atam,parasito,negativo
174,ataw,jovez,negativo
175,atawchay,fortuna,positivo
176,atawchayuk,afortunado,positivo
177,atina,vencer,positivo
178,atipay,conquista,positivo
179,atiy,poder,positivo
180,atsiyana,estornudar,neutro
181,atuk,lobo,neutro
182,atukamay,industria,neutro
183,atukay,industria,neutro
184,atukayashka pukuy,produccion industrial,neutro
185,atyak,babosa,neutro
186,awaki,lunes,neutro
187,awaki puncha,lunes,neutro
188,awana,tejer,neutro
189,awayllamkay,obraje,neutro
190,awika,variedad,neutro
191,awka,militar  soldado,neutro
192,awkakancha,ejercito,neutro
193,awkarik puncha,martes,neutro
194,awkaruna,pagano,negativo
195,awkawasi,cuartel,neutro
196,awki,principe  noble,positivo
197,aya uma,personaje mitologico que lidera el inti raymi  materializacion de las energias de la pacha mama,positivo
198,aycha,carne,neutro
199,aycha / ukku,carne  cuerpo,neutro
200,ayllu,familia,neutro
201,ayllu chariy,poseer familia,positivo
202,ayllu shuti,apellidos (antroponimio,neutro
203,ayllullanikipushak,monarquia,positivo
204,ayllumallki,arbol genealogico,positivo
205,ayllunikiyashka,grados de afinidad,positivo
206,aymuray,mayo,neutro
207,aymuray killa,mayo,neutro
208,aynikuy,participacion,neutro
209,aynina,convivir,positivo
210,ayninakuy,participativa,positivo
211,ayriwa,abril,neutro
212,ayriwa killa,abril,neutro
213,aysana,halar  cosechar,positivo
214,aysana,arrastrar,negativo
215,ayñi,arma,negativo
216,añaki,bacteria,negativo
217,añanku,hormiga,neutro
218,añas,zorro,neutro
219,añaw,virus,negativo
220,chachina,masticar,neutro
221,chakana,cruzar,neutro
222,chakariy  mushukyay,cruzamiento,neutro
223,chakata tullu,clavi­cula,neutro
224,chakcha,alabanza,positivo
225,chaki,pie,neutro
226,chaki ruka,dedo del pie,neutro
227,chaki sillu,uña del dedo del pie,neutro
228,chaki uku,planta del pie,neutro
229,chaki washa,talon,neutro
230,chakichina,secar,neutro
231,chakina,secar,neutro
232,chakishka,seco,neutro
233,chakishkapacha,sequi­a,negativo
234,chakllamanyachi,paralelogramo,neutro
235,chaklli,quimico,negativo
236,chakllisinchi,quimica,neutro
237,chakra,sementera,positivo
238,chakrakamay,agricultura  agricola,neutro
239,chakrakamay  allpa llankay,agricultura,neutro
240,chakrana,cultivar,positivo
241,chakrawiwakamay,agropecuaria,neutro
242,chakru,mixto o combinado,neutro
243,chakruy,composicion,neutro
244,challay,rito,negativo
245,challay  wilkay  hawkay,rito,negativo
246,challwa,pez,neutro
247,challwa kapina,pescar,neutro
248,challwakamay,pesca  pesquera  ictiologÃ­a,neutro
249,chani,valor,neutro
250,chani - kuska,lugar turi­stico,positivo
251,chanichina,valorar,positivo
252,chanikuna,datos,neutro
253,chanina,valorar,positivo
254,chaniyay,valencia,neutro
255,chaniyuk,caro  de valor en dinero,negativo
256,chanka,pierna,neutro
257,chantasu,llama,neutro
258,chapak,policia,positivo
259,chapak kamaypaktachi,intendencia de policia,positivo
260,chapak kamaypaktachi puhak,comando provincia de policia,positivo
261,chapak kamaypaktachi puhask,comando provincia de policia,positivo
262,chapana,vigilar,positivo
263,chapuna,mezclar,neutro
264,chapuri,composicion,neutro
265,chapuriy,combinacion,neutro
266,charik,rico,positivo
267,charikyana,enriquecer  ganar dinero  acumular(se),positivo
268,charina,tener,neutro
269,charinayay,tesoro,positivo
270,charirashka rumpa,balon sostenido,neutro
271,charirashka yasiy,balon sostenido,neutro
272,charishkata killkakamachiy,registro de la propiedad,positivo
273,chashnalla,solamente asi o de esa manera.,negativo
274,chaska puncha,viernes,neutro
275,chaska rikuchik,telescopio,neutro
276,chaskakancha,constelacion,neutro
277,chaskancha,constelacion,neutro
278,chaski shuyulli,sello postal / timbre postal,neutro
279,chaskichik,recibo,neutro
280,chaskik,relevo,positivo
281,chaskilli,buzon de correo / casillero de correo,neutro
282,chaskina,recibir,neutro
283,chaskinancha,codominio,neutro
284,chawa,crudo,negativo
285,chawar,cabuya  penco,neutro
286,chawcha,delicado  fecundo  rapido de madurar,neutro
287,chawchuy,origen,positivo
288,chawpi,medio-mitad,neutro
289,chawpi kawsaypacha makanakuy,guerra medieval,negativo
290,chawpi pukcha,medio quintal,neutro
291,chawpi puncha,medio dia,neutro
292,chawpi tuta,media noche,neutro
293,chawpi wata,medio año,neutro
294,chawpi yachay,segundo nivel de educacion media,positivo
295,chawpihanika,media fanega 120 lb,neutro
296,chawpikakuna,medios,neutro
297,chawpikuska,semirrecta,neutro
298,chawpikutirik,media geometrica,neutro
299,chawpina / rakina,partir,positivo
300,chawpipampa,semiplano,neutro
301,chawpisuyu,region central,neutro
302,chawpiyak,media aritmetica,neutro
303,chawpiyak chanikuna,medidas de tendencia central,neutro
304,chawpiyamuk,mediana,neutro
305,chawra,combustible,neutro
306,chayana,llegar,positivo
307,chayllatak,sinonimo,positivo
308,chayman,directo,positivo
309,chayniyak,distancia,neutro
310,chaypikana,asistir,positivo
311,chayra,aun,neutro
312,chayrak,todavia,positivo
313,chayrak ama,todavia no,negativo
314,chayshinaya,copia,negativo
315,chayshuk,otro  otra (siguiente),neutro
316,chayshuk kawsay,otra vida,positivo
317,chaysinaya,copia,negativo
318,chaytalla,solamente,neutro
319,chaytu,fantasma,negativo
320,chichuna,fecundar,neutro
321,chika,tamaño/ verdad,neutro
322,chikan,diferente/ raro/ estraño,negativo
323,chikanchik iñu,punto aparte.,neutro
324,chikanchik iñu(w),punto aparte,neutro
325,chikanrakikyuk pakiyupaykuna,fracciones heterogeneas,neutro
326,chikanyana,diferenciar,positivo
327,chikanyay,diferente o distinto,positivo
328,chikchichak,coqueto/a,positivo
329,chikchichay,coquetear  coqueteo,positivo
330,chiknina,odiar,negativo
331,chikta  shara,partido  resquebrajado,negativo
332,chiktana,partir  rajar la madera,negativo
333,chilina,naranja,neutro
334,chillay,miercoles,neutro
335,chillay puncha,miercoles,neutro
336,chillka,chilca,neutro
337,chimay,descubrir una adivinanza,positivo
338,chimiyana,surgir  emerger  germinar,positivo
339,chimlasay,bioxido de carbono,negativo
340,chimpamanyaypurachi,seno,neutro
341,chimpamanyaypurachimuy,cosecante,neutro
342,chimpamanyaypuramunchi,cosecante,neutro
343,chimpamanyaypuranchi,seno,neutro
344,chimpana,cruzar,neutro
345,chimpanakuy,antonimo,neutro
346,chimpapurachi,relacion,positivo
347,chimpapuranakuna,debatir,neutro
348,chimpapuranakuy,debate,neutro
349,chimpapuraychiy,comparacio relacionamiento,negativo
350,chimpaykuchukuna,angulo opuesto por el vertice,neutro
351,chinaku,homosexual  gay,neutro
352,chinawakra,hembra  femenino para animales,neutro
353,chinchaysuyu,norte,neutro
354,chiniku,minuto,neutro
355,chinilla,segundo,neutro
356,chinkana,perderse  desaparecer,negativo
357,chinkay,perder,negativo
358,chinlli,desayuno,neutro
359,chiri,frio,negativo
360,chirikunuy,clima,neutro
361,chirimuya,chirimoya,neutro
362,chirina,hacer frio,negativo
363,chiriwrku,paramo,neutro
364,chishi,tarde,neutro
365,chita,chivo  cabra,neutro
366,chiwila,piña,neutro
367,chucha,rapoza,positivo
368,chuchi,pollo,neutro
369,chuchu,seno,neutro
370,chuhama  churipakchuri,nieto,neutro
371,chukchina,recoger la sobra,negativo
372,chukchu unkuy,paludismo,neutro
373,chukchuk,tembloroso,negativo
374,chukchuna,temblar,negativo
375,chuki,mineral,neutro
376,chukikamay,minera  mineria,neutro
377,chukillankay,mitas,neutro
378,chukllu,choclo,neutro
379,chukri,herida,negativo
380,chukrichiy,herir,negativo
381,chukrina,lastimarse,negativo
382,chukrishka,herido/a,negativo
383,chukriy,herir,negativo
384,chukriyku,ulcera,negativo
385,chuku,casco  celada,neutro
386,chukuri,comadreja,neutro
387,chullachishka kutinkutinchikyuk puchu,diferencia de exponentes impares,positivo
388,chullachishka yupay,numero impar,neutro
389,chullashka kimsamanyachi,triangulo escaleno,neutro
390,chullayashka yupay,numero impar,neutro
391,chullpi,chulpi,neutro
392,chumpi,faja,positivo
393,chumpiku,cinta,neutro
394,chunka,diez  10,neutro
395,chunka shuk,once  11,neutro
396,chunkachik hillay,material decimal,neutro
397,chunkachishka yupaychikakunata,representacion polinomica del,neutro
398,chunkakri,decimo,neutro
399,chunkalli,decimal,neutro
400,chunkana,juego de azar,neutro
401,chunkayllichik,sistema decimal,neutro
402,chuntapalashka,embrujado,negativo
403,chupu,tumor,negativo
404,churana,ropa  ponerse la ropa  llevar puesto,neutro
405,churanakuna,vestimenta,neutro
406,churi,hijo,neutro
407,churu,caracol,neutro
408,chushak,vacio,negativo
409,chushik,lechuza,neutro
410,chusku,cuatro  4,neutro
411,chusku chunka,cuarenta  40,neutro
412,chusku patsak,cuatrocientos  400,neutro
413,chuskuchishka pampa,plano bidimensional (cartesiano,neutro
414,chuskumanyachi,cuadrilatero,neutro
415,chuspi,mosca,neutro
416,chutana,halar,neutro
417,chutarik,elasticidad,positivo
418,chutarina,estirarse  ponerse en el suelo,negativo
419,chuya,aguado,negativo
420,chuyaklla yaku,agua potable,positivo
421,chuyakllachina,potabilizar,positivo
422,chuyakllachiy,potabilizacion,positivo
423,chuyayana,asear,positivo
424,chuyayay,desinfeccion,positivo
425,chuyayay(gt),aseo,positivo
426,hachun,nuera  cuñada,neutro
427,hallmana,desyerbar,positivo
428,hampatu,rana,neutro
429,hampi,curacion  medicina,positivo
430,hampik ikay,seguro medico,positivo
431,hampikillkalli,receta medica,positivo
432,hampina,curar,positivo
433,hampiwasi,centro de salud  hospital,positivo
434,hamuktana,entender,positivo
435,hamutana,comprender,positivo
436,hamutay,comprension/ comprender,positivo
437,hanika,fanega,neutro
438,hankana,desequilibrar,negativo
439,hankay,desequilibrio,negativo
440,hantsa,pancreas,neutro
441,hapina,coger  agarrar,neutro
442,haplla,descomedido,negativo
443,harkana,atrancar,negativo
444,harkana  kinchana,cercar,positivo
445,harkarina,tolerancia,positivo
446,harkariy,atascarse,negativo
447,harkashka shimiki,si­labas trabadas.,negativo
448,hatarikuna,manifestaciones,negativo
449,hatariy,levantamiento,positivo
450,hatun,grande,positivo
451,hatun apuktukushka,señorios,positivo
452,hatun hallmay,aporque,neutro
453,hatun hatun runa,gigante,positivo
454,hatun ishpa / isma,caca,negativo
455,hatun kahas,macizo (montaña grande),neutro
456,hatun kaksas,macizo (montaña grande),neutro
457,hatun mama,abuela,neutro
458,hatun paktay,objetivo general,neutro
459,hatun rikuchik,indicador general,neutro
460,hatun wankurikuna,organizaciones nacionales,neutro
461,hatun yachay,tercer nivel de educacion superior,positivo
462,hatun yaya / hatun tayta,abuelo,neutro
463,hatuna,vender,neutro
464,hatuna pampa,mercado,neutro
465,hatuna wasilli,kiosko  chiringuito,neutro
466,hatunkay,grandeza,positivo
467,hatunkillka,mayuscula,neutro
468,hatunkucha,mar,neutro
469,hatunyachanawasi,universidad,neutro
470,hawa,arriba,positivo
471,hawachiy,alzar,neutro
472,hawahawalla,superficialmente,negativo
473,hawakara,epidermis,neutro
474,hawakarak,epidermico  relativo a la epidermis,negativo
475,hawalla,superficial,negativo
476,hawalla shimiki,silaba simple.,neutro
477,hawallallpa,suelo,neutro
478,hawapacha,espacio  cielo,neutro
479,hawaykawsay,civilizacion,neutro
480,hawchashka,ensalada,neutro
481,hayak,amargo  hiel  bilis,negativo
482,hayak muyu,pimienta,negativo
483,haytaypukllay,futbol,positivo
484,hayñi,derecho,positivo
485,hikama,jicama,positivo
486,hillay,implemento,neutro
487,hillaykuna,instrumentos,neutro
488,hillaysapa,aparato,positivo
489,hilli,sopa,positivo
490,hita,pozo,negativo
491,hondonada,pukru,neutro
492,huchu kiru,muela,neutro
493,huku ukuyayllika,secreccion endogeno,negativo
494,hukukanllayay,secrecion exogeno,positivo
495,hukurillawsallika,sistema excretor,negativo
496,humpi,sudor,negativo
497,humpina,sudar,positivo
498,hunina,conjugar,positivo
499,hunkay,semana,positivo
500,hunkay / kanchisri,semana,positivo
501,hunta,lleno,positivo
502,hunu,million  1000000,positivo
503,hutkunantak,taladro,neutro
504,huña,moco,neutro
505,ichanik,duda,negativo
506,ichanik yuyal,oracion dubitativa.,negativo
507,ichanik yuyay,oracion dubitativa.,negativo
508,illak,cero  0,neutro
509,illana  mana tiyana,no haber  ausentar,negativo
510,illapa,arma de fuego (escopeta,negativo
511,illay,faltar,negativo
512,ima rikunchikuna,causa,positivo
513,imachik,verbo,positivo
514,imachik yuyayki,frase verbal,neutro
515,imachikkuna,verbos,positivo
516,imak,sujeto,negativo
517,imakak,caracteristica,positivo
518,imakay,concepto.,positivo
519,imakay (w),concepto,positivo
520,imakay sapsikuna,caracteristicas generales,neutro
521,imakaychina,conceptualizar,positivo
522,imakaychinamanta,conceptualizacion,positivo
523,imallichik,adverbio,positivo
524,imamantachiy,justificacion,positivo
525,imanik,predicado,neutro
526,imapash,cualquier cosa,neutro
527,imarayku,causas,positivo
528,imaruran,consecuencias,negativo
529,imaruray,funcion,neutro
530,imashinakan,formas,neutro
531,imatukuna,acontecer.,neutro
532,imatukuna (w),acontecer,neutro
533,imatukuy,acontecimiento  suceder,negativo
534,imayay,materia,positivo
535,imaykuna,elementos,positivo
536,imilla,adolescente (hombre) ,positivo
537,inchi,mani,positivo
538,inti,sol  (intipuncha) domingo,positivo
539,inti llika,sistema solar,neutro
540,inti puncha,domingo,positivo
541,inti suyu,este,positivo
542,intikinrayllipyay,solsticios,neutro
543,intillayayllipyay,equinoccio,neutro
544,intillika,sistema solar,positivo
545,intiraymi,fiesta de sol,positivo
546,intishayakllipyay,equinoccio,neutro
547,intiwayllashka,fotosintesis,positivo
548,ishkantinpurachi,sobreyectiva,neutro
549,ishkay,dos  2,neutro
550,ishkay chunka,veinte  20,neutro
551,ishkay patsak,docientos  200,neutro
552,ishkaychishka kutinkutinchikyuk yapa,suma de potencias con exponente par,positivo
553,ishkaychishka yupay,numero par,neutro
554,ishkaykillkanancha kutinchiy,factorizacion de binomios,neutro
555,ishkaymanpurachi,biyectiva,positivo
556,ishkayniki kallari yachay,segundo nivel,neutro
557,ishkaynikichishka iñu,par ordenado,neutro
558,ishkaynipa yuyal,oracion bimembre.,positivo
559,ishkaynipa yuyay,oracion bimembre.,positivo
560,ishkaypakta kimsamanyaychi,triangulo isosceles,neutro
561,ishpa phuru,vejiga,neutro
562,iskun,nueve  9,neutro
563,iskun chunka,noventa  90,neutro
564,iskun patsak,novecientos  900,neutro
565,ismuwanu,compost,positivo
566,isru,aro,neutro
567,iwila,shampoo natural (planta),neutro
568,iñina,creer,positivo
569,iñiy,creencia  creer,positivo
570,iñu uchilla suyukuna,puntos colaterales,neutro
571,iñuku,atomo,neutro
572,iñuwa,molecula,positivo
573,kachachik,imperativo,neutro
574,kachachik yuyay,oracion imperativa,positivo
575,kachamuna,mandar  enviar,positivo
576,kacharishka,libre,positivo
577,kachi,sal,neutro
578,kachipurawa,borraja,neutro
579,kahaskancha,cordillera,neutro
580,kahasmuku,nudos (de cordillera),positivo
581,kakatsu,lagaña,negativo
582,kakchiy,definicion,neutro
583,kakrikuchina,describir.,neutro
584,kakrikuchina (w),describir,neutro
585,kaksaskancha,cordillera,neutro
586,kaksaskuna,accidentes geograficos,positivo
587,kaksasmuku,nudos (de cordillera),neutro
588,kaksasuyu pampa,area andina,neutro
589,kaktarikuchik,fisico (estructura),positivo
590,kakunamaki,desafio,negativo
591,kakwillay,certificado,neutro
592,kakwillay  illu,certificado.,neutro
593,kalak,debil,negativo
594,kalak,debil,negativo
595,kallampa,hongo,neutro
596,kallanpa,hongo,neutro
597,kallari yachay,primer nivel de educacion basica,positivo
598,kallari yuyay,introduccion,positivo
599,kallarillaktayku,primeros pobladores,neutro
600,kallarinancha,dominio,positivo
601,kallariy,presentacion  inicio,positivo
602,kallariy yachay,educacion basica.,positivo
603,kallariyuyay,presentacion,positivo
604,kallpa,vigor,positivo
605,kallpana,correr,positivo
